2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North America,North America,North America,Northern Europe,Northern Europe,North America,North America,Northern Europe,North America,Northern Europe,North America,North America
North America,North America,North America,North America,North America,Northern Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,North America,North America,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,United Kingdom,Northern Europe,Central/Western Europe,United Kingdom,Northern Europe,Northern Europe,Northern Europe,North America
North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
North America,North America,North America,North America,North America,Northern Europe,North America,North America,North America,North America,North America,North America
North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Northern Europe,North America,North America,North America,North America,Northern Europe
North America,North America,North America,North America,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,North America,Central/Western Europe,Northern Europe,Northern Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,Northern Europe
Central/Western Europe,Central/Western Europe,North America,North America,Central/Western Europe,North America,Northern Europe,Northern Europe,North America,North America,North America,United Kingdom
Central/Western Europe,Central/Western Europe,North America,Northern Europe,North America,North America,North America,Northern Europe,Northern Europe,North America,North America,Northern Europe
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,United Kingdom,United Kingdom,Northern Europe,Central/Western Europe
North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Northern Europe,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,United Kingdom,North America,North America,United Kingdom,Northern Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,Central/Western Europe,Northern Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,Northern Europe,Oceania,North America,North America,North America,North America,North America
North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
North America,Northern Europe,Central/Western Europe,North America,North America,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,Northern Europe,North America,North America
Central/Western Europe,Central and South America,North America,North America,North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,Central/Western Europe
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Central/Western Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Northern Europe,North America,North America
Central/Western Europe,North America,North America,North America,Northern Europe,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Northern Europe,North America,North America,North America,North America,Central/Western Europe,Central/Western Europe
North America,Northern Europe,North America,Northern Europe,Northern Europe,North America,North America,Northern Europe,North America,North America,North America,North America
Central/Western Europe,Northern Europe,North America,Northern Europe,Northern Europe,North America,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America
Central/Western Europe,North America,North America,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,United Kingdom,North America,Central/Western Europe,Central/Western Europe,North America
Central/Western Europe,Northern Europe,North America,Northern Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,Northern Europe,North America,North America,Northern Europe,North America,North America
Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Central/Western Europe,Northern Europe,Northern Europe,North America,Northern Europe,North America,Eastern Europe
North America,Northern Europe,Northern Europe,Central/Western Europe,Central/Western Europe,Northern Europe,North America,Northern Europe,North America,North America,North America,North America
Central/Western Europe,North America,North America,Central/Western Europe,North America,North America,North America,North America,Northern Europe,Central/Western Europe,North America,Central/Western Europe
Central/Western Europe,Central/Western Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America,North America
United Kingdom,Central/Western Europe,Central/Western Europe,North America,Northern Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,Central/Western Europe
North America,North America,Northern Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,Northern Europe,North America,North America,North America
Central/Western Europe,Northern Europe,North America,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,Northern Europe,North America,North America,Northern Europe,North America
Central/Western Europe,Northern Europe,North America,Northern Europe,Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,North America,Northern Europe,North America,North America
North America,Central/Western Europe,North America,North America,Central/Western Europe,North America,North America,North America,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe
Central/Western Europe,North America,Northern Europe,Northern Europe,Northern Europe,North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,Central/Western Europe,North America,North America,North America,Central/Western Europe,North America
North America,North America,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,North America,North America,Central/Western Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America
North America,North America,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,North America,Northern Europe,North America,North America,North America,Central/Western Europe,North America,North America,North America
North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America
Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,Central/Western Europe,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Central/Western Europe,Northern Europe,Northern Europe,North America,North America,Northern Europe,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,North America,Central/Western Europe,Northern Europe,North America,North America,North America,North America,North America
North America,North America,Central/Western Europe,North America,North America,North America,North America,North America,Central/Western Europe,Central/Western Europe,North America,North America
Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Northern Europe,North America,North America,North America,North America,North America,North America,North America
North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,Northern Europe
North America,Northern Europe,Central/Western Europe,Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America
North America,Central/Western Europe,Central/Western Europe,North America,North America,Central/Western Europe,North America,North America,Central/Western Europe,Central/Western Europe,North America,North America
Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America
North America,North America,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,Northern Europe,Central/Western Europe,North America
North America,Northern Europe,Northern Europe,Northern Europe,North America,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
North America,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America
North America,Northern Europe,Northern Europe,North America,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America
Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,North America,North America,Central/Western Europe,North America,North America,North America,United Kingdom,North America
